WY,Period,Energy_HOSS,HOSS_Peak,HOSS_Min
1946,14,5640,8117,3583
1947,14,5663,8090,3688
1948,14,5667,8062,3689
1949,14,5673,8076,3691
1950,14,5722,8068,3621
1951,14,5752,8237,3677
1952,14,5769,8285,3847
1953,14,5792,8439,3677
1954,14,5792,8344,3708
1955,14,5806,8370,3654
1956,14,5816,8632,3620
1957,14,5854,8255,3774
1958,14,5862,8558,3738
1959,14,5882,8394,3816
1960,14,5885,8454,3768
1961,14,5888,8420,3870
1962,14,5890,8528,3628
1963,14,5893,8571,3767
1964,14,5902,8419,3876
1965,14,5902,8451,3834
1966,14,5917,8586,3724
1967,14,5922,8537,3918
1968,14,5927,8493,3803
1969,14,5973,8598,3930
1970,14,5991,8642,3774
1971,14,6039,8749,3817
1972,14,6045,8812,3830
1973,14,6058,8748,3890
1974,14,6098,8739,3845
1975,14,6101,8840,3885
1976,14,6189,8874,3866
1977,14,6190,8842,4018
1978,14,6204,8905,3970
1979,14,6219,8974,3997
1980,14,6238,8954,3923
1981,14,6259,9023,3818
1982,14,6309,8889,4047
1983,14,6325,8990,4039
1984,14,6350,9070,4072
1985,14,6372,9101,3906
1986,14,6374,9072,3944
1987,14,6389,9008,4046
1988,14,6402,9044,3963
1989,14,6435,9170,3989
1990,14,6636,9262,4219
1991,14,6688,9406,4153
1992,14,6857,9570,4237
1993,14,6895,9632,4204
1994,14,6900,9429,4242
1995,14,6942,9828,4120
1996,14,7143,9834,4329
1997,14,7220,9835,4307
1998,14,7287,9955,4226
1999,14,7337,10270,4214
2000,14,7380,10316,4252
2001,14,7392,10575,4211
2002,14,7615,10761,4306
2003,14,7859,10780,4350
2004,14,7868,10632,4396
2005,14,8163,11127,4373
2006,14,9426,12430,5384
2007,14,9537,12305,7108
2008,14,10187,12482,8151
