 Project   Downstr   Inc   Lag    RR     Pond    Cap
 -------   -------   ---   ---   ----   ------   ----
 H HORS    KERR       1    12.    -1.     -1.0    421
 KERR      THOM F     1    31.    -1.     -1.0    160
 THOM F    NOXON      1     .5    -1.    181.0     40
 NOXON     CAB G      1     .5    -1.    155.1    554
 CAB G     ALBENI     1    10.    -1.    517.5    230
 ALBENI    BOX C      1     1.    0.      -1.0     50
 BOX C     BOUND      1     1.    -1.     84.0     75
 BOUND     COULEE     1     2.    -1.    337.5   1080
 LIBBY     COULEE     1    24.    -1.     -1.0    600
 COULEE    CH JOE     1     3.   21.4     -1.0   6414
 CH JOE    WELLS      1     2.    -1.    540.0   2616
 WELLS     R RECH     1     5.    -1.   1186.0    890
 CHELAN    R RECH     1     1.    -1.     -1.0     54
 R RECH    ROCK I     1     1.    -1.    435.6   1346
 ROCK I    WANAP      1     1.    -1.    133.2    622
 WANAP     PRIEST     1     1.    -1.   1948.0    956
 PRIEST    MCNARY     1    11.    -1.    537.6    907
 BRNLEE    OXBOW      3     1.    -1.     -1.0    675
 OXBOW     HELL C     3     1.    -1.    133.1    206
 HELL C    LR.GRN     3    24.    2.     278.3    450
 DWRSHK    LR.GRN     1    12.    -1.     -1.0    450
 LR.GRN    L GOOS     1     1.   70.     270.0    930
 L GOOS    LR MON     1     1.   70.     300.0    928
 LR MON    ICE H      1     1.   70.     208.0    922
 ICE H     MCNARY     1     1.   20.     240.0    693
 MCNARY    J DAY      1     3.   150.   2239.2   1127
 J DAY     DALLES     1     1.   200.   2400.0   2484
 RND B     PELTON     1     1.    -1.     -1.0    300
 PELTON    DALLES     1    18.    -1.     46.0    120
 DALLES    BONN       1     2.   150.    635.0   2050
 BONN                 1          16.7   1716.0   1186
 SWFT 1    SWFT 2     2     1.    -1.     -1.0    268
 SWFT 2    YALE       2     1.    -1.      0.0     76
 YALE      MERWIN     2     1.    -1.   2294.4    133
 MERWIN               2           -1.   2200.8    149

 Project    HK      FG      HK      FG      HK      FG      HK      FG
 -------  ------  ------  ------  ------  ------  ------  ------  ------
 H HORS    34.85   12.08   32.25   11.62   28.51   11.46   17.15    7.72
 KERR      14.12   11.33   13.36   11.41   13.10   11.30   12.13   11.79
 THOM F     0.0    11.
 NOXON     11.48   48.25   10.50   46.98    8.57   43.59
 CAB G      0.0    35.7
 ALBENI     1.88   26.66    1.46   25.55    1.19   23.88    0.96   22.04
 BOX C      0.0    29.
 BOUND      0.0    53.
 LIBBY     25.07   23.93   20.37   27.78    9.97   12.77    9.33   12.29
 COULEE    23.09  277.76   22.03  282.85   17.96  257.34   16.62  250.02
 CH JOE     0.0   215.
 WELLS      0.0   220.
 CHELAN    26.15    2.06   25.37    2.05   24.28    2.03
 R RECH     0.0   220.
 ROCK I     0.0   220.
 WANAP      0.0   178.
 PRIEST     0.0   187.
 BRNLEE    16.88   39.98   15.50   40.16   12.70   38.74   11.50   37.57
 OXBOW      0.0    25.
 HELL C     0.0    30.
 DWRSHK    47.99    9.37   41.51   10.72   40.51   10.79   34.43   10.37
 LR.GRN     7.18  129.51    5.98  143.13    3.84  131.85    2.75  105.75
 L GOOS     7.01  132.32    5.99  143.14    4.22  138.00    2.62  101.74
 LR MON     6.92  133.42    6.02  142.39    4.38  139.82    2.66  102.53
 ICE H      5.71  121.40    5.11  110.29    3.86  103.02    3.15  101.45
 MCNARY     0.0   232.
 J DAY      6.72  369.68    6.62  374.34
 RND B     24.45   12.25   20.04   10.56
 PELTON     0.0    11.2
 DALLES     0.0   375.
 BONN       0.0   288.
 SWFT 1    29.40    9.12   26.49    8.62   23.00    7.80   20.19    6.93
 SWFT 2     0.0     7.92
 YALE      18.15    7.33   16.99    7.05   16.10    6.87   14.53    6.47
 MERWIN    13.90   10.66   13.31   10.31   11.76    9.59

 PONDAGE BY PERIOD
 Project  PER  1  PER  2  PER  3  PER  4  PER  5  PER  6  PER  7  PER  8  PER  9  PER 10  PER 11  PER 12  PER 13  PER 14
 -------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------
 H HORS     -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0
 KERR       -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0
 THOM F    181.0   181.0   181.0   181.0   181.0   181.0   181.0   181.0   181.0   181.0   181.0   181.0   181.0   181.0
 NOXON     155.1   155.1   155.1   155.1   155.1   155.1   155.1   155.1   155.1   155.1   155.1   155.1   155.1   155.1
 CAB G     517.5   517.5   517.5   517.5   517.5   517.5   517.5   517.5   517.5   517.5   517.5   517.5   517.5   517.5
 ALBENI     -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0
 BOX C      84.0    84.0    84.0    84.0    84.0    84.0    84.0    84.0    84.0    84.0    84.0    84.0    84.0    84.0
 BOUND     337.5   337.5   337.5   337.5   337.5   337.5   337.5   337.5   337.5   337.5   337.5   337.5   337.5   337.5
 LIBBY      -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0
 COULEE     -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0
 CH JOE    540.0   540.0   540.0   540.0   540.0   540.0   540.0   540.0   540.0   540.0   540.0   540.0   540.0   540.0
 WELLS    1186.0  1186.0  1186.0  1186.0  1186.0  1186.0  1186.0  1186.0  1186.0  1186.0  1186.0  1186.0  1186.0  1186.0 
 CHELAN     -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0 
 R RECH    435.6   435.6   435.6   435.6   435.6   435.6   435.6   435.6   435.6   435.6   435.6   435.6   435.6   435.6  
 ROCK I    133.2   133.2   133.2   133.2   133.2   133.2   133.2   133.2   133.2   133.2   133.2   133.2   133.2   133.2  
 WANAP    1948.0  1948.0  1948.0  1948.0  1948.0  1948.0  1948.0  1948.0  1948.0  1948.0  1948.0  1948.0  1948.0  1948.0 
 PRIEST    537.6   537.6   537.6   537.6   537.6   537.6   537.6   537.6   537.6   537.6   537.6   537.6   537.6   537.6
 BRNLEE     -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0  
 OXBOW     133.1   133.1   133.1   133.1   133.1   133.1   133.1   133.1   133.1   133.1   133.1   133.1   133.1   133.1 
 HELL C    278.3   278.3   278.3   278.3   278.3   278.3   278.3   278.3   278.3   278.3   278.3   278.3   278.3   278.3 
 DWRSHK     -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0 
 LR.GRN    550.0   550.0   550.0   550.0   550.0   550.0   110.0   110.0   110.0   110.0   110.0   110.0   110.0   550.0 
 L GOOS    480.0   480.0   480.0   480.0   480.0   480.0   120.0   120.0   120.0   120.0   120.0   120.0   120.0   480.0
 LR MON    252.0   252.0   252.0   252.0   252.0   252.0    84.0    84.0    84.0    84.0    84.0    84.0    84.0   252.0
 ICE H     300.0   300.0   300.0   300.0   300.0   300.0   100.0   100.0   100.0   100.0   100.0   100.0   100.0   300.0 
 MCNARY   2176.8  2176.8  2176.8  2176.8  2176.8  2176.8  2176.8  2176.8  2176.8  2176.8  2176.8  2176.8  2176.8  2176.8
 J DAY    1500.0  1500.0  1500.0  1500.0  1500.0  1500.0   900.0   900.0   900.0   900.0   900.0   900.0   900.0  1500.0
 RND B      -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0  
 PELTON     46.0    46.0    46.0    46.0    46.0    46.0    46.0    46.0    46.0    46.0    46.0    46.0    46.0    46.0
 DALLES    640.8   640.8   640.8   640.8   640.8   640.8   640.8   640.8   640.8   640.8   640.8   640.8   640.8   640.8
 BONN     1209.6  1209.6  1209.6  1209.6  1209.6  1209.6  1209.6  1209.6  1209.6  1209.6  1209.6  1209.6  1209.6  1209.6 
 SWFT 1     -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0    -1.0 
 SWFT 2      0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0 
 YALE     2294.4  2294.4  2294.4  2294.4  2294.4  2294.4  2294.4  2294.4  2294.4  2294.4  2294.4  2294.4  2294.4  2294.4 
 MERWIN   2200.8  2200.8  2200.8  2200.8  2200.8  2200.8  2200.8  2200.8  2200.8  2200.8  2200.8  2200.8  2200.8  2200.8 

 HOURLY QMIN BY PERIOD -- GCL, CHJ, MCN, JDA, TDA might get superseded by the wind dec min turbs
 Project  PER  1  PER  2  PER  3  PER  4  PER  5  PER  6  PER  7  PER  8  PER  9  PER 10  PER 11  PER 12  PER 13  PER 14
 -------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------
 H HORS        0       0       0       0       0       0       0       0       0       0       0       0       0       0
 KERR          0       0       0       0       0       0       0       0       0       0       0       0       0       0
 THOM F        0       0       0       0       0       0       0       0       0       0       0       0       0       0
 NOXON         0       0       0       0       0       0       0       0       0       0       0       0       0       0
 CAB G         0       0       0       0       0       0       0       0       0       0       0       0       0       0
 ALBENI        0       0       0       0       0       0       0       0       0       0       0       0       0       0
 BOX C         0       0       0       0       0       0       0       0       0       0       0       0       0       0
 BOUND         0       0       0       0       0       0       0       0       0       0       0       0       0       0
 LIBBY         0       0       0       0       0       0       0       0       0       0       0       0       0       0
 COULEE	       7       7       7       7       7       7       7       7       7       7       7       7       7       7
 CH JOE	       6      25      25      25      25       6       6       6       6       6       6       6       6       6
 WELLS         0       0       0       0       0       0       0       0       0       0       0       0       0       0 
 CHELAN        0       0       0       0       0       0       0       0       0       0       0       0       0       0 
 R RECH        0       0       0       0       0       0       0       0       0       0       0       0       0       0  
 ROCK I        0       0       0       0       0       0       0       0       0       0       0       0       0       0  
 WANAP         0       0       0       0       0       0       0       0       0       0       0       0       0       0 
 PRIEST        0       0       0       0       0       0       0       0       0       0       0       0       0       0
 BRNLEE        0       0       0       0       0       0       0       0       0       0       0       0       0       0  
 OXBOW         0       0       0       0       0       0       0       0       0       0       0       0       0       0 
 HELL C        0       0       0       0       0       0       0       0       0       0       0       0       0       0 
 DWRSHK        0       0       0       0       0       0       0       0       0       0       0       0       0       0 
 LR.GRN     11.5    11.5       0       0       0    11.5    11.5    11.5    11.5    11.5    11.5    11.5    11.5    11.5
 L GOOS	    11.5    11.5       0       0       0    11.5    11.5    11.5    11.5    11.5    11.5    11.5    11.5    11.5
 LR MON	    11.5    11.5       0       0       0    11.5    11.5    11.5    11.5    11.5    11.5    11.5    11.5    11.5
 ICE H       7.5     7.5     7.5     7.5     7.5     9.5     9.5     9.5     9.5     9.5     9.5     9.5     7.5     7.5
 MCNARY       56      56      56      56      56      56      56      56      56      56      56      56      56      56
 J DAY        66      66      66      66      66      66      66      66      66      66      66      66      66      66
 RND B         0       0       0       0       0       0       0       0       0       0       0       0       0       0  
 PELTON        0       0       0       0       0       0       0       0       0       0       0       0       0       0
 DALLES       66      66      66      66      66      66      66      66      66      66      66      66      66      66
 BONN         70      70      70      70      70      70      70      70      70      70      70      70      70      70
