 hours in peak = 
   2
 PER   TM_E    EON   EOFF   TM_W    WON   WOFF   TM_I   IDON  IDOFF   IWY
   2  8501. 19925.  6496.  1348.  2143.   617.   840.  1632.   513.  1929
   2  8501. 19846.  6517.  1348.  2141.   617.   840.  1627.   515.  1929
   2  8501. 19616.  6586.  1348.  2136.   617.   840.  1615.   519.  1929
   2  8501. 19534.  6612.  1348.  2135.   617.   840.  1611.   521.  1929
   3 10136. 21093.  8578.  1854.  2398.  1121.   823.  1664.   469.  1929
   3 10136. 21011.  8603.  1854.  2395.  1120.   823.  1659.   470.  1929
   3 10136. 20689.  8702.  1854.  2383.  1116.   823.  1642.   477.  1929
   3 10136. 20606.  8720.  1854.  2380.  1115.   823.  1637.   478.  1929
   4 10400. 22147.  8257.  1279.  1806.   711.   900.  1741.   543.  1929
   4 10400. 22062.  8283.  1279.  1803.   712.   900.  1736.   545.  1929
   4 10400. 21850.  8349.  1279.  1796.   714.   900.  1725.   549.  1929
   4 10400. 21765.  8375.  1279.  1793.   715.   900.  1721.   550.  1929
   5  9875. 22267.  7544.  1018.  1544.   486.  1175.  1876.   895.  1929
   5  9875. 22175.  7570.  1018.  1543.   486.  1175.  1871.   897.  1929
   5  9875. 22203.  7562.  1018.  1543.   486.  1175.  1873.   896.  1929
   5  9875. 22111.  7589.  1018.  1542.   487.  1175.  1868.   898.  1929
   6  9405. 21600.  7329.  1148.  1598.   693.   927.  1688.   634.  1929
   6  9405. 21515.  7355.  1148.  1595.   694.   927.  1683.   636.  1929
   6  9405. 21450.  7376.  1148.  1593.   695.   927.  1680.   637.  1929
   6  9405. 21363.  7397.  1148.  1591.   696.   927.  1675.   638.  1929
   7  8446. 21061.  6132.  1123.  1719.   537.   997.  1694.   743.  1929
   7  8446. 20970.  6124.  1123.  1718.   537.   997.  1689.   745.  1929
   7  8446. 20885.  6115.  1123.  1717.   538.   997.  1685.   746.  1929
   7  8446. 20794.  6103.  1123.  1715.   538.   997.  1681.   748.  1929
   8  8570. 19375.  6299.  1097.  1636.   529.  1001.  1773.   683.  1929
   8  8570. 19297.  6293.  1097.  1634.   529.  1001.  1768.   685.  1929
   8  8570. 18777.  6178.  1097.  1626.   530.  1001.  1738.   696.  1929
   8  8570. 18697.  6166.  1097.  1625.   530.  1001.  1734.   698.  1929
   9 10772. 18991.  8667.  1083.  1626.   527.  1068.  1807.   769.  1929
   9 10772. 18914.  8668.  1083.  1625.   527.  1068.  1802.   771.  1929
   9 10772. 18397.  8797.  1083.  1617.   527.  1068.  1772.   782.  1929
   9 10772. 18322.  8815.  1083.  1615.   527.  1068.  1768.   784.  1929
  10 12183. 18995. 10288.  1607.  2480.   748.  1439.  1941.  1125.  1929
  10 12183. 18910. 10313.  1607.  2477.   748.  1439.  1934.  1127.  1929
  10 12183. 18755. 10354.  1607.  2471.   749.  1439.  1922.  1131.  1929
  10 12183. 18670. 10377.  1607.  2468.   750.  1439.  1915.  1133.  1929
  11 12833. 19890. 11699.  1952.  2870.   981.  1221.  1893.   906.  1929
  11 12833. 19805. 11713.  1952.  2867.   981.  1221.  1886.   903.  1929
  11 12833. 19694. 11705.  1952.  2863.   983.  1221.  1877.   900.  1929
  11 12833. 19607. 11694.  1952.  2860.   983.  1221.  1870.   898.  1929
  12  9162. 18810.  6945.  1492.  2373.   731.  1056.  1831.   715.  1930
  12  9162. 18731.  6964.  1492.  2371.   685.  1056.  1826.   717.  1930
  12  9162. 18445.  7032.  1492.  2364.   684.  1056.  1810.   723.  1930
  12  9162. 18366.  7053.  1492.  2363.   684.  1056.  1806.   724.  1930
  13  9279. 18513.  7728.   960.  1605.   448.   914.  1721.   563.  1930
  13  9279. 18438.  7748.   960.  1603.   448.   914.  1717.   565.  1930
  13  9279. 18115.  7832.   960.  1597.   448.   914.  1697.   572.  1930
  13  9279. 18043.  7851.   960.  1596.   448.   914.  1693.   573.  1930
  14  8732. 18391.  7154.   809.  1387.   375.   923.  1725.   575.  1930
  14  8732. 18324.  7164.   809.  1385.   375.   923.  1721.   577.  1930
  14  8732. 18049.  7207.   809.  1379.   374.   923.  1701.   584.  1930
  14  8732. 17987.  7217.   809.  1377.   374.   923.  1697.   585.  1930
   1  7779. 20164.  5644.  1031.  1723.   460.   877.  1716.   504.  1930
   1  7779. 20080.  5634.  1031.  1722.   460.   877.  1712.   506.  1930
   1  7779. 19672.  5729.  1031.  1715.   460.   877.  1690.   514.  1930
   1  7779. 19590.  5753.  1031.  1713.   460.   877.  1686.   515.  1930
   2  8236. 19722.  6397.   836.  1362.   402.   683.  1486.   373.  1930
   2  8236. 19641.  6422.   836.  1360.   402.   683.  1481.   374.  1930
   2  8236. 19419.  6490.   836.  1357.   402.   683.  1469.   379.  1930
   2  8236. 19339.  6515.   836.  1355.   402.   683.  1465.   380.  1930
   3 10145. 20805.  8761.  1172.  1666.   656.   740.  1552.   426.  1930
   3 10145. 20724.  8787.  1172.  1663.   657.   740.  1547.   428.  1930
   3 10145. 20402.  8892.  1172.  1652.   660.   740.  1530.   434.  1930
   3 10145. 20318.  8908.  1172.  1649.   661.   740.  1525.   436.  1930
   4 10361. 22388.  8096.  1286.  1901.   666.   734.  1570.   413.  1930
   4 10361. 22298.  8126.  1286.  1898.   667.   734.  1565.   415.  1930
   4 10361. 22074.  8202.  1286.  1891.   669.   734.  1554.   419.  1930
   4 10361. 21985.  8229.  1286.  1888.   670.   734.  1549.   420.  1930
   5  8966. 21749.  6471.  1908.  2635.  1040.   951.  1703.   666.  1930
   5  8966. 21662.  6498.  1908.  2632.  1041.   951.  1698.   668.  1930
   5  8966. 21688.  6490.  1908.  2633.  1041.   951.  1700.   667.  1930
   5  8966. 21602.  6516.  1908.  2630.  1042.   951.  1695.   669.  1930
   6  9004. 21595.  6593.  1616.  2079.   974.  1185.  1814.   901.  1930
   6  9004. 21499.  6589.  1616.  2078.   972.  1185.  1807.   901.  1930
   6  9004. 21427.  6586.  1616.  2077.   971.  1185.  1802.   900.  1930
   6  9004. 21332.  6582.  1616.  2077.   969.  1185.  1795.   899.  1930
   7  8600. 21032.  6048.  1177.  1791.   571.   863.  1590.   606.  1930
   7  8600. 20942.  6040.  1177.  1789.   572.   863.  1586.   608.  1930
   7  8600. 20858.  6033.  1177.  1788.   572.   863.  1581.   609.  1930
   7  8600. 20768.  6023.  1177.  1787.   572.   863.  1577.   611.  1930
   8  9323. 20075.  6980.  1237.  1775.   597.   816.  1627.   499.  1930
   8  9323. 19989.  6937.  1237.  1774.   597.   816.  1622.   501.  1930
   8  9323. 19410.  6879.  1237.  1770.   597.   816.  1592.   512.  1930
   8  9323. 19325.  6871.  1237.  1769.   597.   816.  1588.   513.  1930
   9 12300. 19562. 10962.  1207.  1737.   587.   866.  1646.   568.  1930
   9 12300. 19481. 10983.  1207.  1736.   587.   866.  1642.   570.  1930
   9 12300. 18939. 11112.  1207.  1733.   587.   866.  1611.   581.  1930
   9 12300. 18860. 11132.  1207.  1732.   587.   866.  1607.   582.  1930
  10 12421. 19591. 11021.   941.  1373.   458.  1013.  1757.   708.  1930
  10 12421. 19508. 11038.   941.  1373.   458.  1013.  1752.   709.  1930
  10 12421. 19355. 11069.   941.  1372.   458.  1013.  1744.   712.  1930
  10 12421. 19268. 11088.   941.  1371.   458.  1013.  1739.   714.  1930
  11  9415. 18507.  7574.  1389.  2223.   622.  1021.  1811.   677.  1930
  11  9415. 18427.  7598.  1389.  2220.   624.  1021.  1806.   678.  1930
  11  9415. 18323.  7630.  1389.  2216.   625.  1021.  1800.   681.  1930
  11  9415. 18244.  7653.  1389.  2213.   626.  1021.  1796.   682.  1930
  12 11434. 19717. 10436.  1079.  1739.   507.   981.  1756.   653.  1931
  12 11434. 19639. 10456.  1079.  1738.   507.   981.  1752.   655.  1931
  12 11434. 19356. 10526.  1079.  1733.   506.   981.  1736.   660.  1931
  12 11434. 19278. 10545.  1079.  1732.   506.   981.  1731.   662.  1931
  13  9903. 18536.  8803.   685.  1190.   320.   885.  1731.   505.  1931
  13  9903. 18469.  8819.   685.  1189.   320.   885.  1726.   507.  1931
  13  9903. 18169.  8887.   685.  1183.   320.   885.  1707.   514.  1931
  13  9903. 18101.  8902.   685.  1182.   319.   885.  1703.   515.  1931
  14  8631. 18175.  7181.   687.  1192.   324.   894.  1734.   517.  1931
  14  8631. 18117.  7193.   687.  1191.   324.   894.  1730.   519.  1931
  14  8631. 17875.  7246.   687.  1185.   323.   894.  1711.   526.  1931
  14  8631. 17821.  7258.   687.  1184.   323.   894.  1706.   528.  1931
   1  7532. 20025.  5414.  1200.  1800.   614.   788.  1604.   453.  1931
   1  7532. 19955.  5397.  1200.  1797.   615.   788.  1599.   455.  1931
   1  7532. 19583.  5415.  1200.  1782.   619.   788.  1578.   463.  1931
   1  7532. 19503.  5440.  1200.  1779.   619.   788.  1573.   464.  1931
   2  8242. 19859.  6312.   717.  1072.   343.   705.  1496.   403.  1931
   2  8242. 19778.  6337.   717.  1071.   343.   705.  1492.   404.  1931
   2  8242. 19548.  6405.   717.  1069.   343.   705.  1479.   409.  1931
   2  8242. 19466.  6429.   717.  1068.   343.   705.  1475.   410.  1931
   3 10488. 21181.  9099.  1163.  1733.   599.   641.  1417.   378.  1931
   3 10488. 21099.  9126.  1163.  1731.   600.   641.  1412.   379.  1931
   3 10488. 20777.  9225.  1163.  1720.   602.   641.  1395.   386.  1931
   3 10488. 20690.  9232.  1163.  1717.   603.   641.  1390.   387.  1931
   4 10627. 22130.  8640.   929.  1535.   415.   698.  1515.   399.  1931
   4 10627. 22045.  8666.   929.  1532.   416.   698.  1511.   401.  1931
   4 10627. 21833.  8731.   929.  1525.   418.   698.  1500.   405.  1931
   4 10627. 21748.  8757.   929.  1522.   418.   698.  1495.   407.  1931
   5  8346. 21637.  5798.  2083.  2759.  1190.   716.  1476.   468.  1931
   5  8346. 21555.  5783.  2083.  2757.  1190.   716.  1471.   469.  1931
   5  8346. 21580.  5787.  2083.  2758.  1190.   716.  1473.   469.  1931
   5  8346. 21497.  5774.  2083.  2755.  1189.   716.  1468.   470.  1931
   6  7567. 20945.  5191.  1049.  1534.   541.   729.  1556.   414.  1931
   6  7567. 20859.  5181.  1049.  1532.   541.   729.  1551.   416.  1931
   6  7567. 20794.  5174.  1049.  1530.   542.   729.  1548.   417.  1931
   6  7567. 20708.  5165.  1049.  1528.   542.   729.  1543.   419.  1931
   7  8006. 20636.  5671.  1346.  1908.   732.   675.  1467.   394.  1931
   7  8006. 20550.  5662.  1346.  1906.   733.   675.  1463.   395.  1931
   7  8006. 20469.  5655.  1346.  1904.   734.   675.  1458.   397.  1931
   7  8006. 20383.  5646.  1346.  1901.   735.   675.  1454.   399.  1931
   8  9599. 20105.  7200.  1364.  2111.   648.   708.  1517.   413.  1931
   8  9599. 20025.  7185.  1364.  2110.   648.   708.  1512.   415.  1931
   8  9599. 19460.  7081.  1364.  2101.   648.   708.  1482.   426.  1931
   8  9599. 19367.  7027.  1364.  2100.   649.   708.  1477.   427.  1931
   9  8285. 17694.  5496.  1143.  1827.   535.   708.  1517.   413.  1931
   9  8285. 17622.  5494.  1143.  1826.   535.   708.  1513.   414.  1931
   9  8285. 17114.  5621.  1143.  1817.   535.   708.  1482.   425.  1931
   9  8285. 17039.  5641.  1143.  1816.   535.   708.  1478.   427.  1931
  10 13898. 20228. 12787.  1211.  1933.   555.   834.  1685.   466.  1931
  10 13898. 20147. 12808.  1211.  1932.   555.   834.  1681.   468.  1931
  10 13898. 19998. 12848.  1211.  1929.   555.   834.  1673.   471.  1931
  10 13898. 19918. 12869.  1211.  1928.   555.   834.  1668.   472.  1931
  11 11247. 19238.  9983.  1366.  2171.   618.   770.  1629.   387.  1931
  11 11247. 19161. 10004.  1366.  2168.   619.   770.  1628.   387.  1931
  11 11247. 19063. 10032.  1366.  2164.   621.   770.  1627.   387.  1931
  11 11247. 18987. 10053.  1366.  2161.   622.   770.  1626.   388.  1931
  12 10652. 18897.  9585.   971.  1591.   450.   776.  1604.   386.  1932
  12 10652. 18821.  9603.   971.  1589.   450.   776.  1603.   386.  1932
  12 10652. 18547.  9666.   971.  1585.   450.   776.  1599.   387.  1932
  12 10652. 18472.  9683.   971.  1583.   450.   776.  1598.   387.  1932
  13  9853. 17996.  8907.   907.  1546.   431.   685.  1471.   342.  1932
  13  9853. 17929.  8923.   907.  1545.   430.   685.  1470.   343.  1932
  13  9853. 17642.  8994.   907.  1539.   430.   685.  1465.   344.  1932
  13  9853. 17575.  9012.   907.  1537.   430.   685.  1464.   344.  1932
  14  8345. 17280.  7198.   754.  1287.   347.   684.  1469.   342.  1932
  14  8345. 17222.  7210.   754.  1285.   347.   684.  1468.   342.  1932
  14  8345. 16981.  7265.   754.  1279.   346.   684.  1464.   343.  1932
  14  8345. 16928.  7247.   754.  1278.   346.   684.  1463.   344.  1932
   1  7277. 19561.  5143.  1283.  1829.   683.   661.  1476.   338.  1932
   1  7277. 19498.  5120.  1283.  1826.   684.   661.  1475.   338.  1932
   1  7277. 19176.  5016.  1283.  1812.   688.   661.  1470.   339.  1932
   1  7277. 19107.  4994.  1283.  1809.   688.   661.  1468.   340.  1932
   2  7608. 19401.  5553.   763.  1124.   364.   647.  1399.   390.  1932
   2  7608. 19325.  5537.   763.  1123.   364.   647.  1394.   392.  1932
   2  7608. 19113.  5494.   763.  1122.   364.   647.  1382.   396.  1932
   2  7608. 19037.  5478.   763.  1121.   364.   647.  1378.   398.  1932
   3  9328. 20480.  7718.  1635.  2138.   980.   620.  1387.   368.  1932
   3  9328. 20399.  7744.  1635.  2135.   980.   620.  1382.   370.  1932
   3  9328. 20077.  7850.  1635.  2124.   978.   620.  1365.   376.  1932
   3  9328. 19997.  7876.  1635.  2121.   977.   620.  1360.   378.  1932
   4 10342. 22161.  8215.  1930.  2546.  1115.   647.  1441.   378.  1932
   4 10342. 22075.  8241.  1930.  2543.  1115.   647.  1436.   379.  1932
   4 10342. 21863.  8306.  1930.  2537.  1113.   647.  1425.   383.  1932
   4 10342. 21778.  8332.  1930.  2534.  1113.   647.  1421.   385.  1932
   5  7063. 20562.  4940.  1848.  2529.  1009.   769.  1492.   544.  1932
   5  7063. 20494.  4964.  1848.  2527.  1009.   769.  1488.   546.  1932
   5  7063. 20515.  4957.  1848.  2527.  1009.   769.  1489.   545.  1932
   5  7063. 20447.  4980.  1848.  2525.  1010.   769.  1485.   547.  1932
   6  6804. 20372.  4520.  1430.  2030.   761.   906.  1556.   718.  1932
   6  6804. 20309.  4535.  1430.  2028.   762.   906.  1551.   720.  1932
   6  6804. 20263.  4547.  1430.  2026.   762.   906.  1548.   721.  1932
   6  6804. 20199.  4563.  1430.  2024.   763.   906.  1543.   722.  1932
   7 10336. 21171.  7969.  2082.  2670.  1200.  1295.  1519.  1144.  1932
   7 10336. 21061.  7929.  2082.  2668.  1198.  1295.  1512.  1142.  1932
   7 10336. 20949.  7878.  2082.  2666.  1196.  1295.  1505.  1140.  1932
   7 10336. 20830.  7824.  2082.  2664.  1194.  1295.  1498.  1138.  1932
   8 17211. 22881. 15563.  1847.  2415.  1073.  1361.  1562.  1169.  1932
   8 17211. 22780. 15543.  1847.  2413.  1072.  1361.  1555.  1167.  1932
   8 17211. 22315. 15367.  1847.  2397.  1067.  1361.  1508.  1152.  1932
   8 17211. 22236. 15374.  1847.  2395.  1066.  1361.  1501.  1150.  1932
   9 17155. 22198. 15980.  1855.  2430.  1015.  1208.  1520.  1060.  1932
   9 17155. 22104. 15971.  1855.  2427.  1013.  1208.  1513.  1057.  1932
   9 17155. 21658. 16026.  1855.  2410.  1004.  1208.  1468.  1042.  1932
   9 17155. 21595. 16037.  1855.  2408.  1003.  1208.  1462.  1040.  1932
  10 18957. 22708. 17780.  1769.  2579.   855.  1295.  1800.  1018.  1932
  10 18957. 22608. 17777.  1769.  2578.   855.  1295.  1793.  1020.  1932
  10 18957. 22425. 17750.  1769.  2575.   855.  1295.  1781.  1024.  1932
  10 18957. 22327. 17773.  1769.  2574.   855.  1295.  1774.  1027.  1932
  11 18551. 22865. 17776.  2089.  3061.  1043.  1433.  1871.  1170.  1932
  11 18551. 22771. 17778.  2089.  3058.  1044.  1433.  1864.  1171.  1932
  11 18551. 22650. 17780.  2089.  3054.  1045.  1433.  1855.  1172.  1932
  11 18551. 22557. 17782.  2089.  3051.  1046.  1433.  1848.  1173.  1932
  12 11984. 19921. 10592.  1524.  2420.   688.  1095.  1835.   777.  1933
  12 11984. 19838. 10608.  1524.  2417.   688.  1095.  1831.   779.  1933
  12 11984. 19540. 10675.  1524.  2406.   690.  1095.  1815.   785.  1933
  12 11984. 19459. 10696.  1524.  2403.   691.  1095.  1810.   786.  1933
  13 11555. 19466. 10640.  1397.  2197.   647.   887.  1733.   506.  1933
  13 11555. 19388. 10659.  1397.  2194.   648.   887.  1729.   508.  1933
  13 11555. 19055. 10743.  1397.  2180.   653.   887.  1710.   515.  1933
  13 11555. 18983. 10761.  1397.  2177.   654.   887.  1705.   517.  1933
  14  9970. 19200.  8476.   767.  1284.   363.   895.  1735.   518.  1933
  14  9970. 19125.  8494.   767.  1283.   363.   895.  1731.   519.  1933
  14  9970. 18808.  8577.   767.  1278.   363.   895.  1712.   526.  1933
  14  9970. 18738.  8596.   767.  1276.   363.   895.  1707.   528.  1933
   1  8329. 20349.  6235.   964.  1634.   448.   834.  1642.   497.  1933
   1  8329. 20266.  6260.   964.  1633.   448.   834.  1638.   499.  1933
   1  8329. 19857.  6383.   964.  1626.   448.   834.  1616.   507.  1933
   1  8329. 19775.  6407.   964.  1624.   448.   834.  1612.   508.  1933
   2  8249. 19783.  6373.  1173.  1880.   537.   724.  1516.   418.  1933
   2  8249. 19703.  6397.  1173.  1878.   537.   724.  1511.   420.  1933
   2  8249. 19480.  6465.  1173.  1874.   537.   724.  1499.   424.  1933
   2  8249. 19400.  6490.  1173.  1873.   537.   724.  1495.   426.  1933
   3  9172. 21066.  7135.  2588.  3258.  1486.   660.  1443.   388.  1933
   3  9172. 20984.  7161.  2588.  3255.  1483.   660.  1438.   389.  1933
   3  9172. 20662.  7260.  2588.  3243.  1470.   660.  1420.   396.  1933
   3  9172. 20581.  7285.  2588.  3240.  1466.   660.  1416.   397.  1933
   4 11522. 22893.  9459.  2035.  2660.  1201.   679.  1480.   398.  1933
   4 11522. 22803.  9489.  2035.  2657.  1200.   679.  1476.   399.  1933
   4 11522. 22575.  9554.  2035.  2650.  1199.   679.  1465.   403.  1933
   4 11522. 22478.  9566.  2035.  2647.  1198.   679.  1460.   405.  1933
   5 13999. 23967. 11934.  2240.  2897.  1307.   791.  1516.   560.  1933
   5 13999. 23864. 11919.  2240.  2894.  1306.   791.  1512.   562.  1933
   5 13999. 23896. 11924.  2240.  2895.  1306.   791.  1513.   561.  1933
   5 13999. 23793. 11909.  2240.  2892.  1305.   791.  1508.   563.  1933
   6 14120. 23883. 12097.  1487.  2090.   780.   810.  1523.   583.  1933
   6 14120. 23781. 12081.  1487.  2087.   781.   810.  1518.   585.  1933
   6 14120. 23706. 12069.  1487.  2086.   781.   810.  1515.   586.  1933
   6 14120. 23604. 12053.  1487.  2083.   782.   810.  1510.   588.  1933
   7 13757. 22920. 11232.  1669.  2283.   923.   938.  1534.   752.  1933
   7 13757. 22814. 11146.  1669.  2281.   924.   938.  1527.   750.  1933
   7 13757. 22715. 11204.  1669.  2279.   924.   938.  1521.   748.  1933
   7 13757. 22610. 11189.  1669.  2277.   925.   938.  1514.   745.  1933
   8 13577. 21648. 12156.  1695.  2340.   932.   888.  1598.   650.  1933
   8 13577. 21551. 12136.  1695.  2337.   932.   888.  1593.   651.  1933
   8 13577. 20902. 11999.  1695.  2323.   937.   888.  1563.   662.  1933
   8 13577. 20807. 11978.  1695.  2321.   938.   888.  1559.   664.  1933
   9 12494. 19990. 11064.  1502.  2066.   807.   930.  1625.   700.  1933
   9 12494. 19902. 11087.  1502.  2064.   807.   930.  1621.   702.  1933
   9 12494. 19311. 11242.  1502.  2049.   811.   930.  1582.   699.  1933
   9 12494. 19225. 11264.  1502.  2047.   810.   930.  1575.   696.  1933
  10 16877. 20755. 15565.  1442.  2047.   693.   997.  1735.   704.  1933
  10 16877. 20663. 15548.  1442.  2046.   693.   997.  1731.   706.  1933
  10 16877. 20493. 15515.  1442.  2045.   693.   997.  1723.   709.  1933
  10 16877. 20401. 15498.  1442.  2044.   693.   997.  1718.   710.  1933
  11 19415. 23315. 18740.  2754.  3669.  1486.  1399.  1886.  1110.  1933
  11 19415. 23216. 18703.  2754.  3666.  1486.  1399.  1879.  1112.  1933
  11 19415. 23088. 18654.  2754.  3662.  1486.  1399.  1870.  1115.  1933
  11 19415. 22990. 18617.  2754.  3659.  1486.  1399.  1864.  1117.  1933
  12 16622. 21964. 15737.  1846.  2729.   936.  1065.  1783.   773.  1934
  12 16622. 21874. 15745.  1846.  2726.   937.  1065.  1779.   774.  1934
  12 16622. 21446. 15801.  1846.  2715.   942.  1065.  1763.   780.  1934
  12 16622. 21324. 15816.  1846.  2711.   943.  1065.  1758.   782.  1934
  13 12970. 20141. 12190.  1502.  2383.   683.   889.  1727.   515.  1934
  13 12970. 20063. 12211.  1502.  2380.   684.   889.  1723.   516.  1934
  13 12970. 19725. 12299.  1502.  2366.   686.   889.  1704.   523.  1934
  13 12970. 19636. 12325.  1502.  2363.   686.   889.  1699.   525.  1934
  14 13050. 20653. 12114.  1173.  1904.   542.   897.  1730.   526.  1934
  14 13050. 20574. 12134.  1173.  1903.   542.   897.  1725.   528.  1934
  14 13050. 20233. 12214.  1173.  1897.   542.   897.  1706.   535.  1934
  14 13050. 20159. 12232.  1173.  1896.   542.   897.  1702.   536.  1934
   1  8492. 20333.  6362.  1256.  2009.   574.   835.  1648.   493.  1934
   1  8492. 20249.  6388.  1256.  2008.   574.   835.  1644.   495.  1934
   1  8492. 19840.  6516.  1256.  2001.   574.   835.  1622.   503.  1934
   1  8492. 19758.  6541.  1256.  2000.   574.   835.  1618.   504.  1934
   2  9574. 20331.  7491.  2047.  2912.  1076.   705.  1491.   407.  1934
   2  9574. 20248.  7516.  2047.  2909.  1077.   705.  1487.   408.  1934
   2  9574. 20017.  7584.  2047.  2900.  1080.   705.  1474.   413.  1934
   2  9574. 19935.  7608.  2047.  2897.  1081.   705.  1470.   414.  1934
   3 14952. 22988. 13585.  2374.  3036.  1389.   645.  1422.   380.  1934
   3 14952. 22896. 13567.  2374.  3033.  1386.   645.  1418.   382.  1934
   3 14952. 22529. 13530.  2374.  3021.  1376.   645.  1400.   388.  1934
   3 14952. 22436. 13509.  2374.  3018.  1373.   645.  1396.   390.  1934
   4 19002. 25220. 17765.  2776.  3532.  1592.   741.  1499.   488.  1934
   4 19002. 25077. 17759.  2776.  3529.  1588.   741.  1494.   490.  1934
   4 19002. 24723. 17746.  2776.  3521.  1580.   741.  1483.   494.  1934
   4 19002. 24581. 17741.  2776.  3518.  1577.   741.  1478.   495.  1934
   5 20065. 25436. 19252.  3014.  3844.  1726.   934.  1581.   748.  1934
   5 20065. 25293. 19209.  3014.  3840.  1722.   934.  1576.   750.  1934
   5 20065. 25337. 19222.  3014.  3841.  1723.   934.  1578.   749.  1934
   5 20065. 25193. 19155.  3014.  3838.  1720.   934.  1573.   751.  1934
   6 18834. 25021. 17845.  2113.  2628.  1260.   918.  1566.   731.  1934
   6 18834. 24879. 17805.  2113.  2625.  1257.   918.  1562.   732.  1934
   6 18834. 24773. 17775.  2113.  2622.  1254.   918.  1558.   734.  1934
   6 18834. 24631. 17696.  2113.  2619.  1251.   918.  1554.   735.  1934
   7 16245. 23359. 13792.  1937.  2517.  1138.   693.  1424.   465.  1934
   7 16245. 23254. 13788.  1937.  2514.  1137.   693.  1420.   467.  1934
   7 16245. 23155. 13762.  1937.  2512.  1137.   693.  1416.   469.  1934
   7 16245. 23050. 13749.  1937.  2509.  1136.   693.  1411.   470.  1934
   8 18452. 23155. 17084.  1493.  2089.   763.   895.  1589.   671.  1934
   8 18452. 23054. 17114.  1493.  2088.   764.   895.  1584.   672.  1934
   8 18452. 22370. 17054.  1493.  2079.   767.   895.  1554.   683.  1934
   8 18452. 22279. 17065.  1493.  2078.   767.   895.  1549.   685.  1934
   9 17590. 22200. 16548.  1472.  2105.   711.   647.  1472.   342.  1934
   9 17590. 22107. 16609.  1472.  2105.   711.   647.  1471.   342.  1934
   9 17590. 21568. 16534.  1472.  2100.   711.   647.  1451.   350.  1934
   9 17590. 21503. 16537.  1472.  2099.   711.   647.  1446.   351.  1934
  10 17832. 21926. 16676.  1553.  2210.   757.   811.  1669.   441.  1934
  10 17832. 21836. 16641.  1553.  2209.   757.   811.  1664.   443.  1934
  10 17832. 21670. 16584.  1553.  2208.   757.   811.  1656.   446.  1934
  10 17832. 21581. 16559.  1553.  2207.   757.   811.  1652.   448.  1934
  11 15440. 21011. 15158.  1302.  1929.   632.   736.  1537.   377.  1934
  11 15440. 20932. 15143.  1302.  1929.   632.   736.  1536.   378.  1934
  11 15440. 20822. 15141.  1302.  1928.   632.   736.  1535.   378.  1934
  11 15440. 20710. 15117.  1302.  1927.   632.   736.  1534.   378.  1934
  12 12251. 19656. 11461.  1410.  2244.   649.   719.  1480.   365.  1935
  12 12251. 19579. 11480.  1410.  2242.   649.   719.  1479.   365.  1935
  12 12251. 19305. 11548.  1410.  2238.   649.   719.  1475.   366.  1935
  12 12251. 19230. 11567.  1410.  2236.   649.   719.  1474.   367.  1935
  13  9322. 17929.  8071.  1097.  1757.   515.   658.  1385.   337.  1935
  13  9322. 17856.  8087.  1097.  1756.   515.   658.  1384.   337.  1935
  13  9322. 17550.  8156.  1097.  1751.   515.   658.  1380.   339.  1935
  13  9322. 17482.  8171.  1097.  1749.   515.   658.  1379.   339.  1935
  14  8611. 17855.  7257.   900.  1483.   425.   655.  1375.   337.  1935
  14  8611. 17788.  7271.   900.  1482.   425.   655.  1374.   337.  1935
  14  8611. 17508.  7338.   900.  1476.   424.   655.  1370.   338.  1935
  14  8611. 17446.  7353.   900.  1475.   424.   655.  1369.   338.  1935
   1  7424. 19566.  5407.  1230.  1834.   631.   547.  1224.   284.  1935
   1  7424. 19489.  5393.  1230.  1831.   632.   547.  1223.   284.  1935
   1  7424. 19111.  5441.  1230.  1817.   636.   547.  1218.   286.  1935
   1  7424. 19035.  5465.  1230.  1814.   637.   547.  1217.   286.  1935
   2  8521. 19690.  6767.   925.  1510.   416.   500.  1171.   260.  1935
   2  8521. 19610.  6793.   925.  1508.   416.   500.  1170.   261.  1935
   2  8521. 19382.  6865.   925.  1504.   417.   500.  1167.   261.  1935
   2  8521. 19299.  6891.   925.  1503.   417.   500.  1166.   262.  1935
   3  9057. 20712.  7014.  2308.  2878.  1347.   602.  1379.   345.  1935
   3  9057. 20627.  7039.  2308.  2875.  1344.   602.  1374.   346.  1935
   3  9057. 20294.  7138.  2308.  2863.  1331.   602.  1357.   353.  1935
   3  9057. 20211.  7163.  2308.  2860.  1328.   602.  1352.   354.  1935
   4 12107. 22983. 10109.  2324.  2980.  1377.   612.  1409.   346.  1935
   4 12107. 22886. 10094.  2324.  2977.  1373.   612.  1405.   348.  1935
   4 12107. 22645. 10059.  2324.  2970.  1365.   612.  1394.   352.  1935
   4 12107. 22548. 10045.  2324.  2967.  1362.   612.  1389.   354.  1935
   5 13672. 23464. 11357.  2334.  3049.  1350.   618.  1421.   349.  1935
   5 13672. 23371. 11337.  2334.  3046.  1349.   618.  1416.   351.  1935
   5 13672. 23400. 11343.  2334.  3047.  1349.   618.  1418.   350.  1935
   5 13672. 23307. 11323.  2334.  3044.  1348.   618.  1413.   352.  1935
   6 13617. 23593. 11412.  1974.  2639.  1103.   778.  1483.   563.  1935
   6 13617. 23486. 11399.  1974.  2637.  1102.   778.  1479.   565.  1935
